dataset	cell	uniq_preDedup	mapq30_preDedup	rate_preDedup	uniq_postDedup	mapq30_postDedup	rate_postDedup
snmCseq3	SRR21549289	965851	721904	74.743	863478	638726	73.971
snmCseq3	SRR21549348	1318577	975896	74.011	1128112	820605	72.741
snmCseq3	SRR21549363	1616558	1195085	73.928	1357172	985319	72.601
snmCseq3	SRR21549384	869297	656310	75.499	766158	569542	74.337
snmCseq3	SRR21549396	605284	451155	74.536	487983	351966	72.127
snmCseq3	SRR21549374	1856356	1368082	73.697	1551779	1122103	72.311
snmCseq3	SRR21549397	2531150	1877227	74.165	2010515	1456204	72.429
snmCseq3	SRR21549302	2032592	1504747	74.031	1655369	1197002	72.31
snmCseq3	SRR21549412	1169289	858200	73.395	1041212	755429	72.553
snmCseq3	SRR21549361	1965279	1446224	73.589	1623747	1171170	72.128
snmCseq3	SRR21549415	1118175	826561	73.921	988245	721764	73.035
snmCseq3	SRR21549405	3057510	2269006	74.211	2477400	1801461	72.716
